Time,StressLevel,Mood,Activity,NotableEvent
"May 7, 2019 07:00:00",3,6,wakeup,
"May 7, 2019 08:00:00",5,7,"preparing for the day",Accidentally slept in
"May 7, 2019 09:00:00",1,10,developing a FE Project,
"May 7, 2019 10:00:00",1,10,developing a FE Project,
"May 7, 2019 11:00:00",2,10,developing a FE Project,
"May 7, 2019 12:00:00",3,10,"eating lunch, Developing a FE Project",
"May 7, 2019 13:00:00",4,10,developing a FE Project,
"May 7, 2019 14:00:00",6,10,developing a FE Project,
"May 7, 2019 15:00:00",4,8,meditating,
"May 7, 2019 16:00:00",4,6,developing a FE Project,
"May 7, 2019 17:00:00",8,5,preparing for this presentation,Couldn't find presentation
"May 7, 2019 18:00:00",10,7,giving presentation,Meta
"May 7, 2019 19:00:00",2,9,drinking a glass of wine,Time travel
